returnTD,defTD,safeties,teamID,fumbleRecoveries,ptsAgainst,teamAbv,interceptions,sacks,blockKick,fantasyPointsDefault,week
0,0.2,0.1,9,0.5,25,DAL,0.8,2.3,0.1,8.4,6
0,0.1,0.1,20,0.7,16.8,MIA,0.9,3.0,0.1,11.1,6
0,0.1,0.1,21,0.6,20.8,MIN,0.8,2.5,0.1,10.2,6
0.0,0.1,0.1,22,0.4,25.5,NE,0.7,1.9,0.0,6.9,7
0.0,0.1,0.1,23,0.6,21.3,NO,0.8,2.7,0.1,8.4,7
0.0,0.1,0.1,24,0.5,21.5,NYG,0.7,2.7,0.1,8.0,7
0,0,0,25,0,0,NYJ,0,0,0,10.0,7
0.0,0.1,0.1,26,0.5,22.8,PIT,0.7,2.4,0.1,7.7,7
0.0,0.1,0.1,27,0.5,24.3,PHI,0.7,2.1,0.1,7.4,7
0.0,0.1,0.1,28,0.6,18.5,SF,1.0,2.9,0.1,11.0,7
0.0,0.1,0.1,29,0.6,17.3,SEA,0.9,2.7,0.1,10.6,7
0.0,0.1,0.1,30,0.6,19,TB,0.8,2.7,0.1,10.4,7
0,0,0,31,0,0,TEN,0,0,0,10.0,7
0.0,0.1,0.1,32,0.6,19.5,WSH,0.8,2.6,0.1,10.3,7
0.0,0.1,0.1,10,0.5,23.5,DEN,0.7,2.2,0.1,7.5,7
0.0,0.1,0.1,11,0.5,23.3,DET,0.7,2.2,0.1,7.5,7
0.0,0.1,0.1,12,0.5,21.5,GB,0.7,2.3,0.1,7.6,7
0,0,0,13,0,0,HOU,0,0,0,10.0,7
0.0,0.1,0.1,14,0.6,21.5,IND,0.8,2.4,0.1,8.1,7
0.0,0.1,0.1,15,0.6,20.3,JAX,0.7,2.5,0.1,10.0,7
0.0,0.1,0.1,16,0.5,22.5,KC,0.7,2.1,0.1,7.4,7
0.0,0.1,0.1,17,0.6,18.5,LV,0.8,2.6,0.1,10.3,7
0.0,0.1,0.1,18,0.4,27.3,LAC,0.5,1.7,0.0,6.3,7
0.0,0.1,0.1,19,0.7,19.8,LAR,0.9,2.7,0.1,10.8,7
0.0,0.1,0.1,1,0.4,26.3,ARI,0.5,1.8,0.1,6.5,7
0.0,0.1,0.1,2,0.5,21.3,ATL,0.7,2.3,0.1,7.6,7
0.0,0.1,0.1,3,0.5,20.3,BAL,0.7,2.2,0.1,9.5,7
0.0,0.2,0.1,4,0.6,16.8,BUF,0.9,2.7,0.1,11.2,7
0,0,0,5,0,0,CAR,0,0,0,10.0,7
0.0,0.1,0.1,6,0.5,21.5,CHI,0.7,2.4,0.1,7.7,7
0,0,0,7,0,0,CIN,0,0,0,10.0,7
0.0,0.1,0.1,8,0.6,18,CLE,0.9,2.7,0.1,10.6,7
0,0,0,9,0,0,DAL,0,0,0,10.0,7
0.0,0.1,0.0,20,0.5,27.3,MIA,0.6,1.8,0.0,6.6,7
0.0,0.1,0.1,21,0.4,25.5,MIN,0.6,1.8,0.0,6.6,7
0.1,0.1,0.1,22,0.4,27.3,NE,0.6,1.8,0.0,7.2,8
0,0.1,0.1,23,0.5,22.5,NO,0.7,2.3,0.1,7.6,8
0,0.1,0.1,24,0.6,19.5,NYG,0.8,2.5,0.1,10.2,8
0,0.1,0.1,25,0.6,17,NYJ,0.9,3,0.1,10.9,8
0,0.1,0.1,26,0.5,21.3,PIT,0.7,2.5,0.1,7.8,8
0,0.1,0.1,27,0.6,17.8,PHI,0.9,3.2,0.1,11.1,8
0,0.1,0.1,28,0.5,20,SF,0.8,2.6,0.1,10.1,8
0,0.1,0.1,29,0.6,17.3,SEA,0.9,2.7,0.1,10.6,8
0,0.1,0.1,30,0.5,26.5,TB,0.7,2.4,0.1,7.7,8
0,0.1,0.1,31,0.5,19.8,TEN,0.7,2.3,0.1,9.6,8
0,0.1,0.0,32,0.5,24.8,WSH,0.6,2.1,0.0,6.9,8
0,0.1,0.0,10,0.4,26.3,DEN,0.6,1.7,0.0,6.3,8
0,0.1,0.1,11,0.6,19.5,DET,0.8,2.8,0.1,10.5,8
0.1,0.2,0.1,12,0.4,20.8,GB,0.6,2,0.0,10.0,8
0,0.2,0.1,13,0.6,20.3,HOU,0.8,2.5,0.1,10.8,8
0,0.1,0.1,14,0.5,21,IND,0.7,2.2,0.1,7.5,8
0,0.1,0.1,15,0.6,19.5,JAX,0.8,2.5,0.1,10.2,8
0.1,0.1,0.1,16,0.5,19.3,KC,0.8,2.5,0.1,10.6,8
0,0.1,0.1,17,0.4,26.5,LV,0.5,1.7,0.1,6.4,8
0,0.1,0.1,18,0.6,18.3,LAC,0.8,2.7,0.1,10.4,8
0,0.1,0.0,19,0.4,25.8,LAR,0.6,1.8,0.0,6.4,8
0,0.1,0.1,1,0.5,26.5,ARI,0.6,1.9,0.1,7.0,8
0,0.2,0.1,2,0.6,17,ATL,0.9,2.8,0.1,11.3,8
0.1,0.1,0.1,3,0.6,17.5,BAL,0.8,2.5,0.1,10.8,8
0,0.1,0.1,4,0.6,17,BUF,0.9,2.7,0.1,10.6,8
0,0.1,0.1,5,0.5,23.3,CAR,0.6,2.3,0.1,7.4,8
0,0.1,0.1,6,0.4,27.8,CHI,0.6,1.9,0.1,6.8,8
0,0.1,0.1,7,0.4,24,CIN,0.7,2.0,0.0,7.0,8
0,0.1,0.1,8,0.5,21.3,CLE,0.8,2.4,0.1,7.9,8
0,0.2,0.1,9,0.6,18.8,DAL,0.9,2.6,0.1,11.1,8
0,0.1,0.1,20,0.6,19.3,MIA,0.9,2.7,0.1,10.6,8
0,0.1,0.1,21,0.5,20.3,MIN,0.7,2.3,0.1,9.6,8
0.1,0.1,0.1,22,0.5,18.8,NE,0.8,2.4,0.1,10.5,9
0,0.1,0.1,23,0.6,17,NO,0.9,2.9,0.1,10.8,9
0,0.1,0.1,24,0.6,19.5,NYG,0.8,2.4,0.1,10.1,9
0,0.1,0.1,25,0.5,21,NYJ,0.8,2.4,0.1,7.9,9
0,0.1,0.1,26,0.6,17,PIT,0.9,2.9,0.1,10.8,9
0,0.1,0.1,27,0.5,21.8,PHI,0.7,2.2,0.1,7.5,9
0,0,0,28,0,0,SF,0,0,0,10.0,9
