Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingYards,PassingTouchdowns,PassingInterceptions,RushingAttempts,RushingYards,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,FantasyPointsPerGamePPR,FantasyPointsPPR
1227,Raheem Mostert,MIA,RB,14,TEN,0,0,0,0,0,12.2,60.8,0.6,2.1,1.6,10.7,0.1,12.8,12.75
1227,Devin Singletary,HOU,RB,16,CLE,0,0,0,0,0,14.9,63.1,0.4,2.7,2.1,15.4,0.1,12.8,12.75
1227,Isiah Pacheco,KC,RB,11,PHI,0,0,0,0,0,14.3,55.7,0.5,3.3,2.4,13.8,0.1,12.8,12.75
1227,Joe Mixon,CIN,RB,8,SF,0,0,0,0,0,15.7,60.2,0.4,3.5,2.6,13.3,0.1,12.8,12.75
1231,Jake Browning,CIN,QB,13,JAX,19.8,32.1,215.4,1.1,0.9,3.2,13.2,0.1,0,0,0,0,12.7,12.74
1231,Christian Kirk,JAX,WR,4,ATL,0,0,0,0,0,0.1,0.8,0,6.6,4.7,57.6,0.4,12.7,12.74
1233,Kenny Pickett,PIT,QB,8,JAX,19.5,31.1,204.2,1,0.8,3.4,11.6,0.2,0,0,0,0,12.7,12.73
1233,Blaine Gabbert,KC,QB,18,LAC,20.3,33.2,221.1,1.1,0.9,2.3,8.9,0.1,0,0,0,0,12.7,12.73
1233,Mike Evans,TB,WR,1,MIN,0,0,0,0,0,0.1,0.2,0,7.3,4.5,60.1,0.4,12.7,12.73
1233,Jordan Addison,MIN,WR,9,ATL,0,0,0,0,0,0.2,1.7,0,6.7,4.7,54.6,0.4,12.7,12.73
1233,Chris Godwin,TB,WR,7,ATL,0,0,0,0,0,0.07,0.3,0,7.1,5.2,59,0.3,12.7,12.73
1238,Mac Jones,NE,QB,6,LV,20.6,31.4,214.1,1.2,0.9,2.7,9.6,0.1,0,0,0,0,12.7,12.72
1238,Ezekiel Elliott,NE,RB,14,PIT,0,0,0,0,0,16.2,59.3,0.4,3.7,2.6,13.9,0.1,12.7,12.72
1238,Rachaad White,TB,RB,3,PHI,0,0,0,0,0,14,55.8,0.4,3.4,2.8,15.4,0.1,12.7,12.72
1238,DeAndre Hopkins,TEN,WR,1,NO,0,0,0,0,0,0,0,0,6.8,4.8,57.2,0.4,12.7,12.72
1238,Jakobi Meyers,LV,WR,7,CHI,0,0,0,0,0,0.2,0.8,0,6.5,4.8,56.4,0.4,12.7,12.72
1238,Trey McBride,ARI,TE,15,SF,0,0,0,0,0,0,0,0,7.5,5.5,54.2,0.3,12.7,12.72
1244,Kenny Pickett,PIT,QB,9,TEN,18.9,30.8,205.5,1.1,0.7,3.1,10.9,0.1,0,0,0,0,12.7,12.71
1244,Joshua Kelley,LAC,RB,3,MIN,0,0,0,0,0,14.8,63.2,0.5,2.6,1.9,10.9,0.1,12.7,12.71
1244,James Cook,BUF,RB,8,TB,0,0,0,0,0,14.3,62.1,0.4,2.9,2.2,15,0.1,12.7,12.71
1244,DeAndre Hopkins,TEN,WR,11,JAX,0,0,0,0,0,0.1,0.3,0,6.6,4.7,61.8,0.3,12.7,12.71
1244,Rashee Rice,KC,WR,14,BUF,0,0,0,0,0,0.1,0.2,0,6.1,4.8,54.9,0.4,12.7,12.71
1244,Diontae Johnson,PIT,WR,1,SF,0,0,0,0,0,0.4,2.2,0,8.1,5.3,55.9,0.3,12.7,12.71
1250,Desmond Ridder,ATL,QB,12,NO,18.4,30.5,197,1.1,0.8,3.7,16.2,0.2,0,0,0,0,12.7,12.7
1250,Chuba Hubbard,CAR,RB,18,TB,0,0,0,0,0,17.4,71.6,0.4,2.5,2,13.4,0,12.7,12.7
1250,Nico Collins,HOU,WR,16,CLE,0,0,0,0,0,0,0,0,7.9,4.7,62,0.3,12.7,12.7
1250,Amari Cooper,CLE,WR,15,CHI,0,0,0,0,0,0,0,0,7.6,4.7,62,0.3,12.7,12.7
1254,Aidan O'Connell,LV,QB,18,DEN,19.5,31.2,214,1.2,0.8,1.7,5.2,0.1,0,0,0,0,12.7,12.68
1254,David Njoku,CLE,TE,17,NYJ,0,0,0,0,0,0,0,0,6.7,5,52.8,0.4,12.7,12.68
1256,George Kittle,SF,TE,12,SEA,0,0,0,0,0,0.02,0.1,0,5.5,4.2,60.6,0.4,12.7,12.67
1256,T.J. Hockenson,MIN,TE,14,LV,0,0,0,0,0,0,0,0,7.3,5.7,51.7,0.3,12.7,12.67
1258,Jaylen Warren,PIT,RB,13,ARI,0,0,0,0,0,10.9,51.5,0.4,3.8,3,17,0.1,12.6,12.65
1259,Will Levis,TEN,QB,9,PIT,17,28,199.9,1.1,0.8,3.9,14.4,0.1,0,0,0,0,12.6,12.64
1259,Zach Wilson,NYJ,QB,9,LAC,18.7,32.1,209.7,1,0.8,3.1,16.5,0.1,0,0,0,0,12.6,12.64
1259,Derrick Henry,TEN,RB,16,SEA,0,0,0,0,0,16,64.1,0.5,1.9,1.6,12.3,0.1,12.6,12.64
1259,Rachaad White,TB,RB,11,SF,0,0,0,0,0,13.7,48.2,0.3,4.7,3.5,21.2,0.1,12.6,12.64
1259,Zay Flowers,BAL,WR,17,MIA,0,0,0,0,0,0.6,3,0,7.2,4.8,51.4,0.4,12.6,12.64
1264,Chuba Hubbard,CAR,RB,16,GB,0,0,0,0,0,17.3,73.7,0.4,2.2,1.8,12.6,0,12.6,12.63
1264,George Kittle,SF,TE,14,SEA,0,0,0,0,0,0.02,0.1,0,5.3,4.2,60.2,0.4,12.6,12.63
1264,Tyler Lockett,SEA,WR,4,NYG,0,0,0,0,0,0.1,0.2,0,6.1,4.6,58.1,0.4,12.6,12.63
1264,Jakobi Meyers,LV,WR,9,NYG,0,0,0,0,0,0.1,0.4,0,6.8,4.9,52.9,0.4,12.6,12.63
1268,Calvin Ridley,JAX,WR,12,HOU,0,0,0,0,0,0.2,0.8,0,6.2,4.4,57.4,0.4,12.6,12.62
1269,Will Levis,TEN,QB,13,IND,18,29.7,205,1.1,0.7,2.9,10,0.1,0,0,0,0,12.6,12.6
1269,Nico Collins,HOU,WR,4,PIT,0,0,0,0,0,0,0,0,6.8,4.3,59,0.4,12.6,12.6
1269,Tyler Lockett,SEA,WR,11,LAR,0,0,0,0,0,0.05,0.2,0,5.9,4.6,55.8,0.4,12.6,12.6
1269,Mark Andrews,BAL,TE,2,CIN,0,0,0,0,0,0.07,0.3,0,6.3,4.6,55.7,0.4,12.6,12.6
1269,Tyler Lockett,SEA,WR,18,ARI,0,0,0,0,0,0.02,0.1,0,6.6,4.7,54.9,0.4,12.6,12.6
1274,Tyrod Taylor,NYG,QB,6,BUF,17.9,30.3,182.8,0.8,0.8,4.9,24.6,0.2,0,0,0,0,12.6,12.57
1274,Najee Harris,PIT,RB,13,ARI,0,0,0,0,0,14.3,60.1,0.5,2.9,2,11.6,0.1,12.6,12.57
1274,Zack Moss,IND,RB,3,BAL,0,0,0,0,0,15.3,62.7,0.4,3.1,2.3,12,0.1,12.6,12.57
1277,Case Keenum,HOU,QB,16,CLE,18.9,32.1,206.3,1.2,0.8,2.2,7.1,0.1,0,0,0,0,12.6,12.56
1277,Zach Charbonnet,SEA,RB,13,DAL,0,0,0,0,0,14.8,57.6,0.3,4.4,3.1,15,0.1,12.6,12.56
1277,Evan Engram,JAX,TE,18,TEN,0,0,0,0,0,0,0,0,7.1,5.5,52.6,0.3,12.6,12.56
1280,David Montgomery,DET,RB,12,GB,0,0,0,0,0,14.9,69.8,0.6,1.7,1.3,8.7,0,12.6,12.55
1280,Cooper Kupp,LAR,WR,14,BAL,0,0,0,0,0,0.2,0.6,0,6.6,5,56.9,0.3,12.6,12.55
1282,Jordan Addison,MIN,WR,12,CHI,0,0,0,0,0,0.2,1.3,0,6.2,4.4,56.1,0.4,12.5,12.54
1283,Bryce Young,CAR,QB,12,TEN,20.3,33.2,205.5,1.1,0.8,3.1,13.1,0.1,0,0,0,0,12.5,12.53
1283,Rachaad White,TB,RB,1,MIN,0,0,0,0,0,13.1,53.3,0.3,4.1,3.2,18,0.1,12.5,12.53
1285,Desmond Ridder,ATL,QB,3,DET,17,27.2,191.7,1.1,0.7,3.6,16.5,0.1,0,0,0,0,12.5,12.52
1285,T.J. Hockenson,MIN,TE,1,TB,0,0,0,0,0,0,0,0,6.3,5,51.2,0.4,12.5,12.52
1287,Easton Stick,LAC,QB,16,BUF,20.8,34,219.3,1,0.9,2.7,11.4,0.1,0,0,0,0,12.5,12.51
1287,James Conner,ARI,RB,12,LAR,0,0,0,0,0,16.3,66.8,0.5,2.4,1.9,11.3,0,12.5,12.51
1287,Mark Andrews,BAL,TE,4,CLE,0,0,0,0,0,0.07,0.3,0,6.5,4.7,53.8,0.4,12.5,12.51
1290,Brian Robinson Jr.,WAS,RB,5,CHI,0,0,0,0,0,15.9,71.5,0.6,1.8,1.2,7.4,0,12.5,12.49
1290,Kenneth Walker III,SEA,RB,9,BAL,0,0,0,0,0,16,63.3,0.5,2.1,1.7,10.6,0.1,12.5,12.49
1290,Nico Collins,HOU,WR,9,TB,0,0,0,0,0,0,0,0,6.1,4.4,62.9,0.3,12.5,12.49
1290,Tyler Lockett,SEA,WR,15,PHI,0,0,0,0,0,0.05,0.2,0,6.1,4.6,54.7,0.4,12.5,12.49
1290,Chris Godwin,TB,WR,12,IND,0,0,0,0,0,0.1,0.4,0,6.7,5,56.5,0.3,12.5,12.49
1295,Desmond Ridder,ATL,QB,4,JAX,17.4,28.1,191.5,1.1,0.6,3.6,14.2,0.1,0,0,0,0,12.5,12.48
1295,Raheem Mostert,MIA,RB,1,LAC,0,0,0,0,0,12.8,63.1,0.4,3,2.2,11.7,0.1,12.5,12.48
1295,Javonte Williams,DEN,RB,16,NE,0,0,0,0,0,14.3,53.5,0.4,3.4,2.6,17.3,0.1,12.5,12.48
1295,Deebo Samuel Sr.,SF,WR,12,SEA,0,0,0,0,0,2.91,14,0.1,5.4,3.9,49.8,0.3,12.5,12.48
1295,Chris Godwin,TB,WR,4,NO,0,0,0,0,0,0.1,0.6,0,7.4,5.2,56.2,0.3,12.5,12.48
1300,Aidan O'Connell,LV,QB,17,IND,19.7,30.8,216.3,1.2,0.8,1.4,4.2,0.1,0,0,0,0,12.5,12.47
1300,Tyson Bagent,CHI,QB,10,CAR,18.1,29.3,195.3,1.1,1.2,4.7,20.6,0.2,0,0,0,0,12.5,12.47
1300,Courtland Sutton,DEN,WR,16,NE,0,0,0,0,0,0,0,0,6.5,4,54.7,0.5,12.5,12.47
1300,Calvin Ridley,JAX,WR,17,CAR,0,0,0,0,0,0.5,2.3,0,7,4.3,55.4,0.4,12.5,12.47
1304,Tommy Devito,NYG,QB,14,GB,17,28.3,181.6,0.9,0.7,5.3,22,0.2,0,0,0,0,12.5,12.46
1304,Tyler Lockett,SEA,WR,8,CLE,0,0,0,0,0,0.02,0.1,0,5.9,4.5,55.5,0.4,12.5,12.46
1304,Tyler Lockett,SEA,WR,9,BAL,0,0,0,0,0,0.05,0.2,0,6,4.6,54.4,0.4,12.5,12.46
1304,Sam LaPorta,DET,TE,15,DEN,0,0,0,0,0,0,0,0,6.4,4.8,52.6,0.4,12.5,12.46
1304,Chris Godwin,TB,WR,11,SF,0,0,0,0,0,0.2,0.6,0,6.8,5,56,0.3,12.5,12.46
1309,De'Von Achane,MIA,RB,14,TEN,0,0,0,0,0,11.5,57,0.4,3.2,2.4,15.5,0.1,12.4,12.45
1309,James Cook,BUF,RB,5,JAX,0,0,0,0,0,14,60.6,0.3,3.4,2.6,15.9,0.1,12.4,12.45
1311,Kenny Pickett,PIT,QB,10,GB,18.7,29.9,199.5,1.1,0.7,2.9,10.6,0.1,0,0,0,0,12.4,12.44
1311,David Montgomery,DET,RB,1,KC,0,0,0,0,0,13.3,57.1,0.5,2.7,2,13.3,0.1,12.4,12.44
1311,Tyler Lockett,SEA,WR,13,DAL,0,0,0,0,0,0.05,0.2,0,6.2,4.6,54.2,0.4,12.4,12.44
1314,Case Keenum,HOU,QB,15,TEN,19.5,32.6,216.3,1.1,0.8,2.3,7.8,0.1,0,0,0,0,12.4,12.43
1314,Miles Sanders,CAR,RB,1,ATL,0,0,0,0,0,14.9,68.4,0.4,2.8,1.8,9.9,0.1,12.4,12.43
1314,Dameon Pierce,HOU,RB,2,IND,0,0,0,0,0,16,64.6,0.4,2.8,2.1,10.7,0.1,12.4,12.43
1314,Terry McLaurin,WAS,WR,12,DAL,0,0,0,0,0,0.1,0.6,0,6.7,4.6,59.7,0.3,12.4,12.43
1318,Jamaal Williams,NO,RB,2,CAR,0,0,0,0,0,15.8,63.2,0.5,2.9,1.8,9,0.1,12.4,12.42
1318,Courtland Sutton,DEN,WR,1,LV,0,0,0,0,0,0.05,0.2,0,6.8,4.3,59,0.4,12.4,12.42
1320,C.J. Stroud,HOU,QB,1,BAL,19.3,31.4,209.1,1.1,0.9,3.5,12.5,0.1,0,0,0,0,12.4,12.41
1320,Jaylen Warren,PIT,RB,18,BAL,0,0,0,0,0,10.7,44,0.3,4.6,3.5,23.1,0.1,12.4,12.41
1320,George Kittle,SF,TE,16,BAL,0,0,0,0,0,0,0,0,5.2,4.3,57.1,0.4,12.4,12.41
1323,Ryan Tannehill,TEN,QB,3,CLE,17.5,27.6,202.5,1.1,0.8,2.8,11,0.1,0,0,0,0,12.4,12.4
1323,Ty Chandler,MIN,RB,17,GB,0,0,0,0,0,13.3,59.7,0.4,2.4,2,14.3,0.1,12.4,12.4
1325,Will Levis,TEN,QB,12,CAR,17.9,29.7,199.8,1.1,0.7,3,10,0.1,0,0,0,0,12.4,12.39
1325,Chuba Hubbard,CAR,RB,17,JAX,0,0,0,0,0,17.4,66.7,0.4,2,1.7,12.2,0.1,12.4,12.39
1325,Rachaad White,TB,RB,6,DET,0,0,0,0,0,14.9,56.3,0.4,3.3,2.5,14.6,0.1,12.4,12.39
1325,Alexander Mattison,MIN,RB,4,CAR,0,0,0,0,0,13.8,55.1,0.4,3.8,2.7,13.8,0.1,12.4,12.39
1329,Aidan O'Connell,LV,QB,4,LAC,19.3,32.6,222.5,1.3,1.1,2,6.7,0,0,0,0,0,12.4,12.37
1329,Derrick Henry,TEN,RB,14,MIA,0,0,0,0,0,16,64.3,0.5,2.2,1.6,9.4,0.1,12.4,12.37
1331,Derek Carr,NO,QB,15,NYG,20.9,32.5,227.3,1.1,0.7,1.4,4.6,0,0,0,0,0,12.4,12.35
1331,Najee Harris,PIT,RB,1,SF,0,0,0,0,0,15.9,61.3,0.4,3.1,2.2,12.2,0.1,12.4,12.35
1331,D'Andre Swift,PHI,RB,15,SEA,0,0,0,0,0,12.9,55.9,0.4,2.7,2.3,16.6,0.1,12.4,12.35
1331,Tyler Lockett,SEA,WR,2,DET,0,0,0,0,0,0.1,0.2,0,6.2,4.4,57.3,0.4,12.4,12.35
1335,Christian Watson,GB,WR,7,DEN,0,0,0,0,0,0.5,2.8,0,5.9,3.9,57.6,0.4,12.3,12.34
1335,Terry McLaurin,WAS,WR,17,SF,0,0,0,0,0,0.1,0.6,0,7.8,4.5,59.8,0.3,12.3,12.34
1337,Matthew Stafford,LAR,QB,14,BAL,20.4,32.7,214.8,1.2,0.7,1.6,5.4,0,0,0,0,0,12.3,12.33
1337,Geno Smith,SEA,QB,15,PHI,19.9,29.1,193.6,1.2,0.7,1.8,7.9,0.1,0,0,0,0,12.3,12.33
1337,Drake London,ATL,WR,10,ARI,0,0,0,0,0,0,0,0,7,4.9,58.3,0.3,12.3,12.33
1340,Derrick Henry,TEN,RB,18,JAX,0,0,0,0,0,15.8,64,0.5,1.8,1.4,11.2,0.1,12.3,12.32
1340,Jordan Addison,MIN,WR,16,DET,0,0,0,0,0,0.1,1,0,6.5,4.3,55.2,0.4,12.3,12.32
1340,Drake London,ATL,WR,1,CAR,0,0,0,0,0,0.2,0.6,0,7.2,4.8,58.6,0.3,12.3,12.32
1343,David Montgomery,DET,RB,17,DAL,0,0,0,0,0,14.6,63,0.6,1.7,1.5,11.1,0,12.3,12.31
1343,Tee Higgins,CIN,WR,17,KC,0,0,0,0,0,0.02,0.1,0,6.5,4.1,58,0.4,12.3,12.31
1345,Sam LaPorta,DET,TE,10,LAC,0,0,0,0,0,0,0,0,6.2,4.8,51,0.4,12.3,12.3
1345,Adam Thielen,CAR,WR,5,DET,0,0,0,0,0,0.05,0.2,0,6.9,5,54.8,0.3,12.3,12.3
1347,Trey McBride,ARI,TE,11,HOU,0,0,0,0,0,0,0,0,7.3,5,54.9,0.3,12.3,12.29
1348,Raheem Mostert,MIA,RB,11,LV,0,0,0,0,0,10.6,57.3,0.5,2.5,1.9,12.5,0.1,12.3,12.28
1348,AJ Dillon,GB,RB,3,NO,0,0,0,0,0,14.6,58.2,0.5,2.6,1.9,11.6,0.1,12.3,12.28
1348,James Conner,ARI,RB,10,ATL,0,0,0,0,0,15.3,61.7,0.4,3.1,2.1,12.1,0.1,12.3,12.28
1348,DeAndre Hopkins,TEN,WR,14,MIA,0,0,0,0,0,0.1,0.3,0,5.7,4.4,60.5,0.3,12.3,12.28
1352,Jeff Driskel,CLE,QB,18,CIN,19,32.8,208.4,0.9,0.9,3.6,17.3,0.1,0,0,0,0,12.3,12.27
1352,Dorian Thompson-Robinson,CLE,QB,12,DEN,17.7,31.1,194.4,0.9,1,4.7,22.9,0.2,0,0,0,0,12.3,12.27
1352,Terry McLaurin,WAS,WR,15,LAR,0,0,0,0,0,0.2,0.7,0,7.5,4.5,59,0.3,12.3,12.27
1352,DeAndre Hopkins,TEN,WR,8,ATL,0,0,0,0,0,0,0,0,6.8,4.8,56.7,0.3,12.3,12.27
1356,James Conner,ARI,RB,16,CHI,0,0,0,0,0,15.3,62.8,0.4,2.9,2.1,10.8,0.1,12.3,12.26
1356,D'Andre Swift,PHI,RB,14,DAL,0,0,0,0,0,13.1,56.2,0.4,3.1,2.5,13.4,0.1,12.3,12.26
1356,Amari Cooper,CLE,WR,10,BAL,0,0,0,0,0,0,0,0,6.2,4.3,61.6,0.3,12.3,12.26
1356,Drake London,ATL,WR,16,IND,0,0,0,0,0,0,0,0,6.8,4.5,59.6,0.3,12.3,12.26
1356,Zay Flowers,BAL,WR,14,LAR,0,0,0,0,0,0.5,3.5,0,6.3,4.8,53.1,0.3,12.3,12.26
1356,T.J. Hockenson,MIN,TE,2,PHI,0,0,0,0,0,0,0,0,6.4,5,48.6,0.4,12.3,12.26
1362,Will Levis,TEN,QB,11,JAX,18.9,32.4,213.7,1,0.8,2.5,8.9,0.1,0,0,0,0,12.2,12.24
1362,Rachaad White,TB,RB,4,NO,0,0,0,0,0,14.2,53.9,0.3,4,3,16.5,0.1,12.2,12.24
1362,Nico Collins,HOU,WR,3,JAX,0,0,0,0,0,0,0,0,7.3,4.4,60.4,0.3,12.2,12.24
1362,Sam LaPorta,DET,TE,11,CHI,0,0,0,0,0,0,0,0,6.5,4.8,50.4,0.4,12.2,12.24
1366,Sam LaPorta,DET,TE,18,MIN,0,0,0,0,0,0,0,0,5.6,4.7,51.3,0.4,12.2,12.23
1366,Adam Thielen,CAR,WR,4,MIN,0,0,0,0,0,0,0,0,6.7,4.8,52.3,0.4,12.2,12.23
1368,Joe Flacco,CLE,QB,14,JAX,20.5,33.8,214.4,1.1,0.8,1.5,4.4,0.1,0,0,0,0,12.2,12.22
1369,Jahmyr Gibbs,DET,RB,1,KC,0,0,0,0,0,9.5,39.3,0.3,4.8,3.4,20.8,0.2,12.2,12.21
1369,Zay Flowers,BAL,WR,15,JAX,0,0,0,0,0,0.5,3.1,0,6.7,4.8,53,0.3,12.2,12.21
1369,Jakobi Meyers,LV,WR,5,GB,0,0,0,0,0,0.1,0.3,0,6.5,4.9,56.8,0.3,12.2,12.21
1372,Garrett Wilson,NYJ,WR,18,NE,0,0,0,0,0,0.3,1.4,0,9.8,5.1,57.6,0.2,12.2,12.2
1373,Alexander Mattison,MIN,RB,6,CHI,0,0,0,0,0,13,55.5,0.4,3.4,2.4,14.4,0.1,12.2,12.19
1373,Alexander Mattison,MIN,RB,2,PHI,0,0,0,0,0,13,54.9,0.4,3.5,2.5,14,0.1,12.2,12.19
1373,Aaron Jones,GB,RB,7,DEN,0,0,0,0,0,11.5,51.2,0.3,3.9,2.9,19.7,0.1,12.2,12.19
1376,Najee Harris,PIT,RB,15,IND,0,0,0,0,0,14,56.3,0.4,3.1,2.2,15.4,0.1,12.2,12.17
1376,George Kittle,SF,TE,13,PHI,0,0,0,0,0,0.02,0.1,0,5.2,4.2,55.6,0.4,12.2,12.17
1376,T.J. Hockenson,MIN,TE,10,NO,0,0,0,0,0,0,0,0,6.6,5.3,50.7,0.3,12.2,12.17
1379,David Montgomery,DET,RB,10,LAC,0,0,0,0,0,14.8,65.3,0.6,2,1.4,8.3,0,12.2,12.16
1379,Amari Cooper,CLE,WR,14,JAX,0,0,0,0,0,0,0,0,5.9,4.3,60.6,0.3,12.2,12.16
1379,T.J. Hockenson,MIN,TE,9,ATL,0,0,0,0,0,0,0,0,7.2,5.4,49.6,0.3,12.2,12.16
1382,Raheem Mostert,MIA,RB,13,WAS,0,0,0,0,0,12.3,58.5,0.5,2.4,1.8,11,0.1,12.2,12.15
1383,Zach Wilson,NYJ,QB,6,PHI,18.7,30.8,199.5,1,0.8,2.7,13.6,0.1,0,0,0,0,12.1,12.14
1383,Derrick Henry,TEN,RB,8,ATL,0,0,0,0,0,16.3,69.4,0.5,2.2,1.5,9,0,12.1,12.14
1383,Chuba Hubbard,CAR,RB,6,MIA,0,0,0,0,0,14,56.2,0.3,3.6,2.8,15.2,0.1,12.1,12.14
1383,DJ Moore,CHI,WR,3,KC,0,0,0,0,0,0.4,2.3,0,7.2,4.4,59.1,0.3,12.1,12.14
1387,Andy Dalton,CAR,QB,3,SEA,19.1,30.6,212.8,1.2,0.9,2.3,8.2,0,0,0,0,0,12.1,12.13
1387,Terry McLaurin,WAS,WR,6,ATL,0,0,0,0,0,0.2,0.7,0,6.7,4.4,58.6,0.3,12.1,12.13
1389,James Cook,BUF,RB,9,CIN,0,0,0,0,0,13.4,59.6,0.4,2.4,1.9,14.6,0.1,12.1,12.12
1390,Bryce Young,CAR,QB,13,TB,21.1,33.5,203.5,1,0.8,3.1,13.7,0.1,0,0,0,0,12.1,12.11
1390,Jamaal Williams,NO,RB,1,TEN,0,0,0,0,0,16,60.4,0.5,2.8,1.8,8.7,0.1,12.1,12.11
1390,Alexander Mattison,MIN,RB,10,NO,0,0,0,0,0,14.6,56.7,0.4,3.2,2.3,13.4,0.1,12.1,12.11
1390,Evan Engram,JAX,TE,15,BAL,0,0,0,0,0,0,0,0,7.2,5.3,50.1,0.3,12.1,12.11
1394,Ryan Tannehill,TEN,QB,6,BAL,17.9,28.6,206.4,1,0.8,2.6,10.4,0.1,0,0,0,0,12.1,12.1
1394,Tutu Atwell,LAR,WR,4,IND,0,0,0,0,0,0.8,4,0,6.7,4.2,57,0.3,12.1,12.1
1394,Courtland Sutton,DEN,WR,13,HOU,0,0,0,0,0,0,0,0,5.9,4.3,56,0.4,12.1,12.1
1397,Mason Rudolph,PIT,QB,17,SEA,18.8,30.4,203.7,1.1,0.8,2.1,7.4,0.1,0,0,0,0,12.1,12.09
1397,Mason Rudolph,PIT,QB,18,BAL,18.4,29.7,195.5,1.1,0.7,2.6,8.7,0.1,0,0,0,0,12.1,12.09
1397,Zay Flowers,BAL,WR,11,CIN,0,0,0,0,0,0.4,1.9,0,6.3,4.7,54,0.3,12.1,12.09
1400,Najee Harris,PIT,RB,2,CLE,0,0,0,0,0,15.2,60.3,0.4,3,2.1,11.5,0.1,12.1,12.08
1400,Jaylen Warren,PIT,RB,16,CIN,0,0,0,0,0,10.7,47.1,0.3,3.9,3,21.7,0.1,12.1,12.08
1402,Kenny Pickett,PIT,QB,5,BAL,19.1,30.8,201.2,1,0.8,2.8,12.2,0.1,0,0,0,0,12.1,12.07
1403,Terry McLaurin,WAS,WR,18,DAL,0,0,0,0,0,0.1,0.5,0,7.7,4.3,59.1,0.3,12.1,12.06
1403,Zay Flowers,BAL,WR,5,PIT,0,0,0,0,0,0.6,3.1,0,5.5,4.7,52.5,0.3,12.1,12.06
1405,Desmond Ridder,ATL,QB,5,HOU,16.7,26.7,183.8,1.1,0.6,3.1,13,0.1,0,0,0,0,12,12.05
1405,Jonathan Taylor,IND,RB,7,CLE,0,0,0,0,0,13,56.3,0.4,3,2.2,14.2,0.1,12,12.05
1405,Amari Cooper,CLE,WR,2,PIT,0,0,0,0,0,0,0,0,6.8,4.2,56.5,0.4,12,12.05
1405,Marquise Brown,ARI,WR,8,BAL,0,0,0,0,0,0.1,0.7,0,7.3,4.8,53.8,0.3,12,12.05
1405,David Njoku,CLE,TE,16,HOU,0,0,0,0,0,0,0,0,7.3,5,52.5,0.3,12,12.05
1410,Sam LaPorta,DET,TE,5,CAR,0,0,0,0,0,0,0,0,6.6,4.6,50.4,0.4,12,12.04
1411,Taylor Heinicke,ATL,QB,17,CHI,17.8,28.7,197.5,1,0.7,2.9,13.3,0.1,0,0,0,0,12,12.03
1411,Terry McLaurin,WAS,WR,1,ARI,0,0,0,0,0,0.3,1.4,0,6.5,4.4,58.9,0.3,12,12.03
1411,Sam LaPorta,DET,TE,17,DAL,0,0,0,0,0,0,0,0,6.8,4.7,49.3,0.4,12,12.03
1414,Chris Godwin,TB,WR,13,CAR,0,0,0,0,0,0.2,0.7,0,6.4,4.8,53.5,0.3,12,12.02
1415,Desmond Ridder,ATL,QB,2,GB,16.2,25.9,180.5,1.1,0.6,3,13.9,0.1,0,0,0,0,12,12.01
1415,Dameon Pierce,HOU,RB,1,BAL,0,0,0,0,0,16.9,64.9,0.3,2.9,2.2,11.2,0.1,12,12.01
1415,Jaylen Warren,PIT,RB,17,SEA,0,0,0,0,0,10.2,43.4,0.3,4.2,3.2,22.7,0.1,12,12.01
1415,Terry McLaurin,WAS,WR,3,BUF,0,0,0,0,0,0.2,1.2,0,6.6,4.2,60.9,0.3,12,12.01
1415,Amari Cooper,CLE,WR,13,LAR,0,0,0,0,0,0,0,0,6.2,4.2,60.1,0.3,12,12.01
1420,D'Onta Foreman,CHI,RB,6,MIN,0,0,0,0,0,15.6,64,0.4,2.5,1.8,10,0.1,12,12
1420,Dameon Pierce,HOU,RB,5,ATL,0,0,0,0,0,15.4,62.6,0.4,2.7,1.9,10.4,0.1,12,12
1420,Alexander Mattison,MIN,RB,5,KC,0,0,0,0,0,13,56.1,0.4,3.2,2.4,11.9,0.1,12,12
1420,D'Andre Swift,PHI,RB,3,TB,0,0,0,0,0,11.6,53.3,0.4,3.3,2.4,14.7,0.1,12,12
1420,Aaron Jones,GB,RB,9,LAR,0,0,0,0,0,11.2,50.2,0.3,3.6,2.8,19.8,0.1,12,12
1420,Dalton Kincaid,BUF,TE,10,DEN,0,0,0,0,0,0,0,0,5.7,5.3,49,0.3,12,12
1426,Brian Robinson Jr.,WAS,RB,3,BUF,0,0,0,0,0,17.4,67.6,0.4,2.4,1.5,9.3,0.1,12,11.99
1426,Kenneth Walker III,SEA,RB,15,PHI,0,0,0,0,0,13.3,55.5,0.5,1.8,1.7,13.4,0.1,12,11.99
1426,Marquise Brown,ARI,WR,13,PIT,0,0,0,0,0,0.2,1,0,6.9,4.5,55.9,0.3,12,11.99
1429,Zach Wilson,NYJ,QB,11,BUF,19.2,32.9,203.8,0.9,0.8,3.3,16.2,0.1,0,0,0,0,12,11.97
1429,Aidan O'Connell,LV,QB,14,MIN,19.4,31.3,210.3,1.1,0.9,2.1,7.6,0.1,0,0,0,0,12,11.97
1429,Javonte Williams,DEN,RB,3,MIA,0,0,0,0,0,13.3,55.7,0.3,3.6,2.7,15,0.1,12,11.97
